rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,lejdd.fr/Politique/tribune-retraite-complementaire-agirc-arrco-pourquoi-casser-un-element-majeur-du-pacte-social-4143893,url,https://lejdd.fr/Politique/tribune-retraite-complementaire-agirc-arrco-pourquoi-casser-un-element-majeur-du-pacte-social-4143893,4,"{""SOC"":3,""LR"":1}"
B,1587098777852051457,tweet,https://twitter.com/Clemence_Guette/status/1587098777852051457,10,"{""LFI"":10}"
C,1586786511684620290,tweet,https://twitter.com/gdarmanin/status/1586786511684620290,9,"{""REN"":6,""LFI"":2,""MODEM"":1}"
D,bfmtv.com/politique/parlement/en-direct-suivez-l-examen-des-motions-de-censure-du-rn-et-de-lfi_LN-202210310401.html,url,https://bfmtv.com/politique/parlement/en-direct-suivez-l-examen-des-motions-de-censure-du-rn-et-de-lfi_LN-202210310401.html,7,"{""RN"":7}"
E,1587028086092070915,tweet,https://twitter.com/x/status/1587028086092070915,4,"{""REN"":4}"
F,clementine-autain.fr/la-grosse-ficelle-des-extremes-ou-la-solution-nupes,url,https://clementine-autain.fr/la-grosse-ficelle-des-extremes-ou-la-solution-nupes,3,"{""LFI"":2,""ECO"":1}"
G,1587063585129304064,tweet,https://twitter.com/gregorydoucet/status/1587063585129304064,4,"{""LFI"":1,""ECO"":3}"
H,1586990765774880768,tweet,https://twitter.com/x/status/1586990765774880768,3,"{""ECO"":3}"
