rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1591082182797185024,tweet,https://twitter.com/CarolineYADAN/status/1591082182797185024,5,"{""MODEM"":1,""LFI"":2,""REN"":1,""RN"":1}"
B,youtube.com/watch?v=1A3503GHFEs,url,https://youtube.com/watch?v=1A3503GHFEs,2,"{""LFI"":2}"
C,1590436741759979520,tweet,https://twitter.com/PapNdiaye/status/1590436741759979520,2,"{""RN"":2}"
D,1591388063129022464,tweet,https://twitter.com/AQuatennens/status/1591388063129022464,1,"{""LFI"":1}"
E,1590942274715758592,tweet,https://twitter.com/EricNaulleau/status/1590942274715758592,2,"{""RN"":2}"
F,1591174790756212736,tweet,https://twitter.com/BFMTV/status/1591174790756212736,2,"{""REN"":1,""NI"":1}"
G,francetvinfo.fr/politique/front-national/vrai-ou-fake-le-depute-rn-gregoire-de-fournas-a-t-il-recouru-a-l-embauche-de-travailleurs-etrangers-qu-il-pretend-combattre_5469660.html,url,https://francetvinfo.fr/politique/front-national/vrai-ou-fake-le-depute-rn-gregoire-de-fournas-a-t-il-recouru-a-l-embauche-de-travailleurs-etrangers-qu-il-pretend-combattre_5469660.html,3,"{""LFI"":2,""GDR"":1}"
H,1590887366985555968,tweet,https://twitter.com/caissesdegreve/status/1590887366985555968,7,"{""LFI"":7}"
