rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1589528162999975936,tweet,https://twitter.com/franceinfo/status/1589528162999975936,5,"{""LFI"":4,""ECO"":1}"
B,1589580329194438656,tweet,https://twitter.com/Anne_Hidalgo/status/1589580329194438656,5,"{""ECO"":1,""REN"":4}"
C,1589670385179426816,tweet,https://twitter.com/yannickneuder/status/1589670385179426816,4,"{""LR"":4}"
D,1589546020337340418,tweet,https://twitter.com/J_Bardella/status/1589546020337340418,5,"{""RN"":5}"
E,1589626319028989952,tweet,https://twitter.com/J_Bardella/status/1589626319028989952,3,"{""RN"":3}"
F,1588989604803145728,tweet,https://twitter.com/fpupponi/status/1588989604803145728,3,"{""LR"":1,""RN"":2}"
G,twitter.com/i/broadcasts/1vAxRAeZedNJl,url,https://twitter.com/i/broadcasts/1vAxRAeZedNJl,13,"{""REN"":9,""MODEM"":3,""HOR"":1}"
H,1589510764280180737,tweet,https://twitter.com/Ardhis_LGBT/status/1589510764280180737,9,"{""LFI"":9}"
