rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1589580329194438656,tweet,https://twitter.com/Anne_Hidalgo/status/1589580329194438656,8,"{""REN"":6,""SOC"":1,""ECO"":1}"
B,1590016012514373632,tweet,https://twitter.com/FrcsBraun/status/1590016012514373632,3,"{""REN"":1,""LFI"":1,""RN"":1}"
C,1589874701010366464,tweet,https://twitter.com/Disclose_ngo/status/1589874701010366464,11,"{""LFI"":6,""SOC"":3,""ECO"":1,""GDR"":1}"
D,adhesions-rn.fr,url,https://adhesions-rn.fr,6,"{""RN"":6}"
E,1589644837631889409,tweet,https://twitter.com/BFMTV/status/1589644837631889409,3,"{""RN"":3}"
F,1589989464494944256,tweet,https://twitter.com/LCP/status/1589989464494944256,4,"{""LFI"":4}"
G,1589937156734484480,tweet,https://twitter.com/Clemence_Guette/status/1589937156734484480,8,"{""LFI"":8}"
