rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1586485742963933186,tweet,https://twitter.com/stephanewep/status/1586485742963933186,4,"{""LFI"":4}"
B,1586379873534169088,tweet,https://twitter.com/sandrousseau/status/1586379873534169088,6,"{""RN"":1,""REN"":4,""MODEM"":1}"
C,1586688380548546560,tweet,https://twitter.com/marinpetrus/status/1586688380548546560,3,"{""RN"":3}"
D,1586678690775289859,tweet,https://twitter.com/bfmtv/status/1586678690775289859,3,"{""ECO"":1,""REN"":1,""RN"":1}"
E,1586759754680078338,tweet,https://twitter.com/bfmtv/status/1586759754680078338,3,"{""MODEM"":1,""REN"":1,""LFI"":1}"
F,1586366272924782593,tweet,https://twitter.com/bfmtv/status/1586366272924782593,4,"{""RN"":3,""LFI"":1}"
G,congres-18-auth.secure-vote.org,url,https://congres-18-auth.secure-vote.org,6,"{""RN"":6}"
