rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1588943473218326528,tweet,https://twitter.com/BFMTV/status/1588943473218326528,3,"{""RN"":1,""LFI"":1,""REN"":1}"
B,1589000254979874817,tweet,https://twitter.com/GWGoldnadel/status/1589000254979874817,2,"{""RN"":2}"
C,adhesions-rn.fr,url,https://adhesions-rn.fr,4,"{""RN"":4}"
D,lejdd.fr/Politique/comment-emmanuel-macron-prepare-loperation-dissolution-4145536,url,https://lejdd.fr/Politique/comment-emmanuel-macron-prepare-loperation-dissolution-4145536,2,"{""LFI"":1,""NI"":1}"
E,leparisien.fr/politique/bruno-le-maire-il-ny-a-pas-eu-de-profiteurs-de-linflation-05-11-2022-GCIQ7WXZ5VEUDBUW6JFWDSFLKA.php,url,https://leparisien.fr/politique/bruno-le-maire-il-ny-a-pas-eu-de-profiteurs-de-linflation-05-11-2022-GCIQ7WXZ5VEUDBUW6JFWDSFLKA.php,7,"{""REN"":7}"
F,1589199817833861120,tweet,https://twitter.com/Pierre_GTIL/status/1589199817833861120,2,"{""RN"":2}"
G,1588468690252861440,tweet,https://twitter.com/Elisabeth_Borne/status/1588468690252861440,26,"{""REN"":20,""MODEM"":4,""HOR"":1,""ECO"":1}"
H,1589203644108636160,tweet,https://twitter.com/jrechagneux/status/1589203644108636160,3,"{""RN"":3}"
