rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1590310225525211137,tweet,https://twitter.com/BFMTV/status/1590310225525211137,6,"{""RN"":6}"
B,1590016012514373632,tweet,https://twitter.com/FrcsBraun/status/1590016012514373632,3,"{""REN"":1,""LFI"":1,""RN"":1}"
C,marianne.net/economie/finance/philippe-brun-tous-les-documents-de-bercy-prevoient-bien-un-demantelement-dedf,url,https://marianne.net/economie/finance/philippe-brun-tous-les-documents-de-bercy-prevoient-bien-un-demantelement-dedf,3,"{""NI"":1,""SOC"":1,""RN"":1}"
D,1590381002714931202,tweet,https://twitter.com/YaelBRAUNPIVET/status/1590381002714931202,18,"{""REN"":14,""LFI"":1,""MODEM"":1,""ECO"":1,""SOC"":1}"
E,1590372736412446721,tweet,https://twitter.com/SebastienTULLER/status/1590372736412446721,3,"{""REN"":1,""ECO"":1,""LFI"":1}"
F,disclose.ngo/fr/article/petrole-et-paradis-fiscaux-les-interets-caches-de-la-ministre-de-la-transition-energetique,url,https://disclose.ngo/fr/article/petrole-et-paradis-fiscaux-les-interets-caches-de-la-ministre-de-la-transition-energetique,8,"{""LFI"":8}"
G,1590059791157645312,tweet,https://twitter.com/MLP_officiel/status/1590059791157645312,25,"{""RN"":25}"
H,1590104560638779395,tweet,https://twitter.com/France2tv/status/1590104560638779395,4,"{""ECO"":2,""LFI"":2}"
