rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1591891565026459650,tweet,https://twitter.com/BFMTV/status/1591891565026459650,2,"{""RN"":2}"
B,youtube.com/watch?v=cMjzmCt4m5E,url,https://youtube.com/watch?v=cMjzmCt4m5E,2,"{""LFI"":2}"
C,1592257744769142785,tweet,https://twitter.com/JLMelenchon/status/1592257744769142785,4,"{""LFI"":4}"
D,1591757029571325952,tweet,https://twitter.com/EmmanuelMacron/status/1591757029571325952,21,"{""REN"":20,""MODEM"":1}"
E,lefigaro.fr/politique/gerard-collomb-lie-son-depart-de-beauvau-a-un-desaccord-avec-macron-sur-la-politique-migratoire-20221113,url,https://lefigaro.fr/politique/gerard-collomb-lie-son-depart-de-beauvau-a-un-desaccord-avec-macron-sur-la-politique-migratoire-20221113,2,"{""NI"":1,""ECO"":1}"
F,adhesions-rn.fr,url,https://adhesions-rn.fr,7,"{""RN"":7}"
G,1592206136178278400,tweet,https://twitter.com/cafepedagogique/status/1592206136178278400,2,"{""ECO"":2}"
H,1592227817143488512,tweet,https://twitter.com/LCP/status/1592227817143488512,2,"{""REN"":2}"
