rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1591082182797185024,tweet,https://twitter.com/CarolineYADAN/status/1591082182797185024,2,"{""REN"":1,""RN"":1}"
B,youtube.com/watch?v=-4no7xsOcNg,url,https://youtube.com/watch?v=-4no7xsOcNg,2,"{""LFI"":2}"
C,twitter.com/mbompard/status/1590803703103111168/video/1,url,https://twitter.com/mbompard/status/1590803703103111168/video/1,4,"{""LFI"":4}"
D,1590780395724775424,tweet,https://twitter.com/J_Bardella/status/1590780395724775424,4,"{""RN"":4}"
E,1591060435922747394,tweet,https://twitter.com/MLP_officiel/status/1591060435922747394,10,"{""RN"":10}"
F,1590623656983814149,tweet,https://twitter.com/Europe1/status/1590623656983814149,9,"{""REN"":9}"
G,1591101727906099201,tweet,https://twitter.com/MathildePanot/status/1591101727906099201,4,"{""ECO"":1,""LFI"":3}"
H,1590707141626986496,tweet,https://twitter.com/OmarSy/status/1590707141626986496,2,"{""REN"":1,""GDR"":1}"
