rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1588602082327920640,tweet,https://twitter.com/PhOlivierRN/status/1588602082327920640,7,"{""LFI"":7}"
B,1588628947570286592,tweet,https://twitter.com/csapin/status/1588628947570286592,7,"{""RN"":7}"
C,1588724192660590592,tweet,https://twitter.com/AgnesRunacher/status/1588724192660590592,11,"{""REN"":11}"
D,1588468690252861440,tweet,https://twitter.com/Elisabeth_Borne/status/1588468690252861440,26,"{""REN"":20,""MODEM"":4,""HOR"":1,""ECO"":1}"
E,1588852015349702661,tweet,https://twitter.com/RNational_off/status/1588852015349702661,12,"{""RN"":12}"
F,1588578048814632961,tweet,https://twitter.com/PapNdiaye/status/1588578048814632961,8,"{""REN"":6,""ECO"":1,""HOR"":1}"
