rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1587758406164783107,tweet,https://twitter.com/LCP/status/1587758406164783107,11,"{""REN"":9,""ECO"":2}"
B,membres.republicains.fr/inscription,url,https://membres.republicains.fr/inscription,4,"{""LR"":4}"
C,1587448428929470465,tweet,https://twitter.com/EmmanuelMacron/status/1587448428929470465,5,"{""REN"":3,""LR"":1,""HOR"":1}"
D,change.org/p/pour-une-baisse-de-nos-factures-d-%C3%A9nergie-et-la-r%C3%A9novation-de-nos-logements,url,https://change.org/p/pour-une-baisse-de-nos-factures-d-%C3%A9nergie-et-la-r%C3%A9novation-de-nos-logements,3,"{""ECO"":1,""LFI"":2}"
E,1587661869908742144,tweet,https://twitter.com/lemondefr/status/1587661869908742144,9,"{""REN"":3,""NI"":1,""RN"":5}"
F,congres-18-auth.secure-vote.org,url,https://congres-18-auth.secure-vote.org,14,"{""RN"":14}"
G,1587701041134325761,tweet,https://twitter.com/Ccesoir/status/1587701041134325761,2,"{""ECO"":1,""LFI"":1}"
H,1587845189661515777,tweet,https://twitter.com/LCP/status/1587845189661515777,5,"{""REN"":2,""SOC"":2,""LFI"":1}"
