rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1592532706180870146,tweet,https://twitter.com/LaureLavalette/status/1592532706180870146,8,"{""RN"":8}"
B,lemonde.fr/societe/article/2022/11/13/migrants-morts-en-traversant-la-manche-le-24-novembre-2021-l-enquete-accablante-pour-les-secours_6149691_3224.html,url,https://lemonde.fr/societe/article/2022/11/13/migrants-morts-en-traversant-la-manche-le-24-novembre-2021-l-enquete-accablante-pour-les-secours_6149691_3224.html,6,"{""SOC"":2,""LFI"":4}"
C,1592234252288266240,tweet,https://twitter.com/LCP/status/1592234252288266240,6,"{""LFI"":6}"
D,1592547301729370113,tweet,https://twitter.com/Lycrem2/status/1592547301729370113,2,"{""REN"":2}"
E,1592544217502359553,tweet,https://twitter.com/MathildePanot/status/1592544217502359553,10,"{""LFI"":10}"
F,1592257744769142785,tweet,https://twitter.com/JLMelenchon/status/1592257744769142785,5,"{""LFI"":5}"
G,1592405946466471936,tweet,https://twitter.com/Elisabeth_Borne/status/1592405946466471936,5,"{""REN"":5}"
H,1592231723684593664,tweet,https://twitter.com/RTLFrance/status/1592231723684593664,2,"{""MODEM"":1,""RN"":1}"
