rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1590387404963475456,tweet,https://twitter.com/BFMTV/status/1590387404963475456,4,"{""REN"":3,""LFI"":1}"
B,1590803703103111168,tweet,https://twitter.com/mbompard/status/1590803703103111168,8,"{""LFI"":8}"
C,1590372736412446721,tweet,https://twitter.com/SebastienTULLER/status/1590372736412446721,4,"{""LFI"":2,""REN"":1,""ECO"":1}"
D,1590016012514373632,tweet,https://twitter.com/FrcsBraun/status/1590016012514373632,3,"{""REN"":1,""LFI"":1,""RN"":1}"
E,1590669847985283077,tweet,https://twitter.com/BFMTV/status/1590669847985283077,6,"{""REN"":5,""RN"":1}"
F,1590773362691039233,tweet,https://twitter.com/J_Bardella/status/1590773362691039233,5,"{""RN"":5}"
G,1590359370625613824,tweet,https://twitter.com/lobs/status/1590359370625613824,8,"{""LFI"":5,""SOC"":2,""GDR"":1}"
H,1590717348754952194,tweet,https://twitter.com/BFMTV/status/1590717348754952194,4,"{""RN"":3,""GDR"":1}"
