rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,20minutes.fr/societe/4009705-20221113-retraites-contre-avis-gouvernement-senat-vote-report-age-legal-64-ans,url,https://20minutes.fr/societe/4009705-20221113-retraites-contre-avis-gouvernement-senat-vote-report-age-legal-64-ans,2,"{""RN"":2}"
B,1591496418593751041,tweet,https://twitter.com/le_Parisien/status/1591496418593751041,2,"{""RN"":2}"
C,1591518802260463617,tweet,https://twitter.com/ECiotti/status/1591518802260463617,3,"{""LR"":1,""ECO"":1,""SOC"":1}"
D,twitter.com/MohamadParis20/status/1591760086183313408/video/1,url,https://twitter.com/MohamadParis20/status/1591760086183313408/video/1,2,"{""HOR"":1,""REN"":1}"
E,youtube.com/watch?v=Z6T_58TsZ1M,url,https://youtube.com/watch?v=Z6T_58TsZ1M,20,"{""REN"":19,""MODEM"":1}"
F,1591755317855285252,tweet,https://twitter.com/AlexQuiec/status/1591755317855285252,5,"{""REN"":4,""MODEM"":1}"
G,1591764593915097088,tweet,https://twitter.com/ljacobelli/status/1591764593915097088,3,"{""RN"":3}"
H,1591174790756212736,tweet,https://twitter.com/BFMTV/status/1591174790756212736,2,"{""REN"":1,""NI"":1}"
