rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1593655914501791744,tweet,https://twitter.com/vakitamedia/status/1593655914501791744,2,"{""LFI"":2}"
B,1593984956983922688,tweet,https://twitter.com/BFMTV/status/1593984956983922688,3,"{""RN"":3}"
C,1593320478357295109,tweet,https://twitter.com/LCP/status/1593320478357295109,2,"{""ECO"":1,""MODEM"":1}"
D,1593590311279677440,tweet,https://twitter.com/libe/status/1593590311279677440,3,"{""ECO"":2,""SOC"":1}"
E,1593653520095449095,tweet,https://twitter.com/david_rachline/status/1593653520095449095,1,"{""RN"":1}"
F,1593508792049754112,tweet,https://twitter.com/publicsenat/status/1593508792049754112,2,"{""MODEM"":1,""REN"":1}"
