rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1588079617713192960,tweet,https://twitter.com/MLP_officiel/status/1588079617713192960,18,"{""RN"":18}"
B,1588206853909090304,tweet,https://twitter.com/GDarmanin/status/1588206853909090304,11,"{""MODEM"":1,""REN"":6,""HOR"":1,""LFI"":1,""RN"":2}"
C,membres.republicains.fr/inscription,url,https://membres.republicains.fr/inscription,8,"{""LR"":8}"
D,1588202075950825472,tweet,https://twitter.com/priscathevenot/status/1588202075950825472,5,"{""REN"":5}"
E,1588209333455626240,tweet,https://twitter.com/FiAssemblee/status/1588209333455626240,19,"{""LFI"":19}"
F,1588206171789434880,tweet,https://twitter.com/Renaissance/status/1588206171789434880,7,"{""REN"":7}"
G,1588221495829987329,tweet,https://twitter.com/MathildePanot/status/1588221495829987329,6,"{""LFI"":5,""GDR"":1}"
H,1587769457191026688,tweet,https://twitter.com/BFMTV/status/1587769457191026688,6,"{""RN"":5,""REN"":1}"
