rank,id,type,url,broadcast_by_mps,bcing_mps_group
A,1588498677881966592,tweet,https://twitter.com/SylvainMaillard/status/1588498677881966592,37,"{""REN"":33,""LFI"":4}"
B,1588560415407198208,tweet,https://twitter.com/LCP/status/1588560415407198208,7,"{""RN"":5,""ECO"":1,""REN"":1}"
C,1588203084248907777,tweet,https://twitter.com/LCP/status/1588203084248907777,15,"{""REN"":10,""HOR"":3,""LIOT"":1,""MODEM"":1}"
D,1588441017136578561,tweet,https://twitter.com/RMCInfo/status/1588441017136578561,11,"{""LFI"":11}"
E,1588544787481001986,tweet,https://twitter.com/JLMelenchon/status/1588544787481001986,8,"{""LFI"":8}"
